Date,Close,Volume,Name
2013-01-24,43.0,12496300.0,Healthcare-Merck
2013-01-25,43.459999,13167300.0,Healthcare-Merck
2013-01-28,42.93,11850000.0,Healthcare-Merck
2013-01-29,43.66,15720300.0,Healthcare-Merck
2013-01-30,43.5,12672600.0,Healthcare-Merck
2013-01-31,43.25,14539400.0,Healthcare-Merck
2013-02-01,41.830002,37688000.0,Healthcare-Merck
2013-02-04,40.849998,29409700.0,Healthcare-Merck
2013-02-05,41.43,21307300.0,Healthcare-Merck
2013-02-06,41.09,17383800.0,Healthcare-Merck
2013-02-07,41.0,16174300.0,Healthcare-Merck
2013-02-08,41.18,14661800.0,Healthcare-Merck
2013-02-11,41.380001,11412000.0,Healthcare-Merck
2013-02-12,41.450001,9996000.0,Healthcare-Merck
2013-02-13,41.150002,15803300.0,Healthcare-Merck
2013-02-14,41.189999,16332800.0,Healthcare-Merck
2013-02-15,41.419998,15579100.0,Healthcare-Merck
2013-02-19,42.220001,13306100.0,Healthcare-Merck
2013-02-20,42.66,16800900.0,Healthcare-Merck
2013-02-21,42.5,11823000.0,Healthcare-Merck
2013-02-22,42.970001,15393900.0,Healthcare-Merck
2013-02-25,42.52,19407300.0,Healthcare-Merck
2013-02-26,42.419998,13903100.0,Healthcare-Merck
2013-02-27,42.970001,12917100.0,Healthcare-Merck
2013-02-28,42.73,14211300.0,Healthcare-Merck
2013-03-01,42.630001,14816300.0,Healthcare-Merck
2013-03-04,43.34,14160200.0,Healthcare-Merck
2013-03-05,43.25,15118100.0,Healthcare-Merck
2013-03-06,43.68,18417100.0,Healthcare-Merck
2013-03-07,43.27,13733600.0,Healthcare-Merck
2013-03-08,42.970001,29273300.0,Healthcare-Merck
2013-03-11,43.66,38638100.0,Healthcare-Merck
2013-03-12,45.040001,56007500.0,Healthcare-Merck
2013-03-13,44.59,17921200.0,Healthcare-Merck
2013-03-14,44.27,25893400.0,Healthcare-Merck
2013-03-15,44.09,24331900.0,Healthcare-Merck
2013-03-18,43.630001,12117700.0,Healthcare-Merck
2013-03-19,43.700001,15504100.0,Healthcare-Merck
2013-03-20,44.119999,14974300.0,Healthcare-Merck
2013-03-21,43.790001,11904600.0,Healthcare-Merck
2013-03-22,43.900002,9984000.0,Healthcare-Merck
2013-03-25,43.689999,13117100.0,Healthcare-Merck
2013-03-26,44.389999,12112700.0,Healthcare-Merck
2013-03-27,44.099998,10970900.0,Healthcare-Merck
2013-03-28,44.200001,16641700.0,Healthcare-Merck
2013-04-01,44.349998,9901900.0,Healthcare-Merck
2013-04-02,44.91,12786500.0,Healthcare-Merck
2013-04-03,45.360001,25872200.0,Healthcare-Merck
2013-04-04,45.32,13967400.0,Healthcare-Merck
2013-04-05,45.130001,12601500.0,Healthcare-Merck
2013-04-08,45.48,10153500.0,Healthcare-Merck
2013-04-09,45.509998,10599300.0,Healthcare-Merck
2013-04-10,46.84,18735100.0,Healthcare-Merck
2013-04-11,47.209999,17537900.0,Healthcare-Merck
2013-04-12,47.110001,10064400.0,Healthcare-Merck
2013-04-15,46.459999,15347300.0,Healthcare-Merck
2013-04-16,46.959999,10185700.0,Healthcare-Merck
2013-04-17,46.759998,11777200.0,Healthcare-Merck
2013-04-18,46.560001,11272600.0,Healthcare-Merck
2013-04-19,47.490002,12705300.0,Healthcare-Merck
